"question_id","participant_id","answer","time","correct","type","size","layout","domain_question"
30,5,"Low self-representation -> low salary -> lack of self-esteem                                                                                                                                                                                                                                                ","55.169","no                            ","node-linked                   ","large                         ","parallel                      ","drinking                      "
10,5,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","19.704","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
33,5,"Gym buddy                                                                                                                                                                                                                                                                                                   ","7.552","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
11,5,"Pass exams                                                                                                                                                                                                                                                                                                  ","10.08","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
13,5,"Poor performance                                                                                                                                                                                                                                                                                            ","7.952","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
23,5,"Health issues                                                                                                                                                                                                                                                                                               ","11.512","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
28,5,"Missed deadlines -> Poor performance -> Fail exams                                                                                                                                                                                                                                                          ","53.584","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
32,5,"Gym overuse -> taking supplements -> Evident results                                                                                                                                                                                                                                                        ","25.022","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
25,5,"Obesity                                                                                                                                                                                                                                                                                                     ","10.593","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
24,5,"Anxiety to attend -> gym dislike -> sports avoidance                                                                                                                                                                                                                                                        ","21.631","yes                           ","matrix                        ","medium                        ","inDD                          ","gym                           "
4,5,"Doing sports -> participation in team sports -> team work behaviour                                                                                                                                                                                                                                         ","11.511","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
21,5,"Gambling                                                                                                                                                                                                                                                                                                    ","7.654","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
17,5,"Sports avoidance                                                                                                                                                                                                                                                                                            ","9.504","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
2,5,"Childhood issues -> drinking parents -> underaged drinking                                                                                                                                                                                                                                                  ","23.215","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
16,5,"Negative parenting -> childhood issues -> drinking parents                                                                                                                                                                                                                                                  ","31.319","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
18,5,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","26.477","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
31,5,"Pleasant gym time                                                                                                                                                                                                                                                                                           ","14.058","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
34,5,"Gym buddy -> social gym experience -> pleasant gym                                                                                                                                                                                                                                                          ","34.781","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
3,5,"More friends                                                                                                                                                                                                                                                                                                ","11.2","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
15,5,"Low salary                                                                                                                                                                                                                                                                                                  ","13.983","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
29,5,"Early age drinking                                                                                                                                                                                                                                                                                          ","19.97","yes                           ","node-linked                   ","large                         ","parallel                      ","drinking                      "
6,5,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","21.767","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
36,5,"Emotional problems -> binge eating -> health issues                                                                                                                                                                                                                                                         ","22.231","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
20,5,"Meditation -> relaxed self -> pass exams                                                                                                                                                                                                                                                                    ","15.264","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
35,5,"Low salary                                                                                                                                                                                                                                                                                                  ","17.159","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
14,5,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","8.702","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
1,5,"Depression                                                                                                                                                                                                                                                                                                  ","14.751","yes                           ","node-linked                   ","small                         ","hier                          ","drinking                      "
7,5,"Behavioural issues                                                                                                                                                                                                                                                                                          ","10.015","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
22,5,"Drinking parents->underaged drinking -> gambling                                                                                                                                                                                                                                                            ","23.263","yes                           ","matrix                        ","medium                        ","outDD                         ","drinking                      "
9,5,"Better social life                                                                                                                                                                                                                                                                                          ","11.839","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
8,5,"Drinking friends -> behavioural issues -> low grades                                                                                                                                                                                                                                                        ","12.296","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
12,5,"Good argumentation -> critical thinking -> successful debates                                                                                                                                                                                                                                               ","14.68","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
19,5,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","8.343","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
5,5,"Successful Debates                                                                                                                                                                                                                                                                                          ","21.65","yes                           ","node-linked                   ","small                         ","parallel                      ","student                       "
27,5,"Pass exams                                                                                                                                                                                                                                                                                                  ","23.309","yes                           ","node-linked                   ","large                         ","organic                       ","student                       "
26,5,"Feeling happy -> being fit -> emotional stability                                                                                                                                                                                                                                                           ","18.416","yes                           ","node-linked                   ","large                         ","hier                          ","gym                           "
16,6,"Negative parenting -> childhood issues -> drinking parents                                                                                                                                                                                                                                                  ","24.681","yes                           ","node-linked                   ","medium                        ","organic                       ","drinking                      "
32,6,"Gym overuse -> taking supplements -> Evident results                                                                                                                                                                                                                                                        ","28.374","yes                           ","matrix                        ","large                         ","alpha                         ","gym                           "
19,6,"Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","8.789","yes                           ","matrix                        ","medium                        ","alpha                         ","student                       "
33,6,"Gym buddy                                                                                                                                                                                                                                                                                                   ","10.805","yes                           ","matrix                        ","large                         ","outDD                         ","student                       "
35,6,"Low salary                                                                                                                                                                                                                                                                                                  ","15.968","yes                           ","matrix                        ","large                         ","inDD                          ","drinking                      "
9,6,"Better social life                                                                                                                                                                                                                                                                                          ","6.753","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
14,6,"Self-motivation -> independent work -> pass exams                                                                                                                                                                                                                                                           ","33.414","yes                           ","node-linked                   ","medium                        ","hier                          ","student                       "
18,6,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","18.934","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
11,6,"Pass exams                                                                                                                                                                                                                                                                                                  ","11.936","yes                           ","matrix                        ","small                         ","inDD                          ","student                       "
10,6,"Join sports societies -> more friends -> better social life                                                                                                                                                                                                                                                 ","23.162","yes                           ","matrix                        ","small                         ","outDD                         ","gym                           "
26,6,"Gym Mania -> health issues -> Evident results                                                                                                                                                                                                                                                               ","38.862","no                            ","node-linked                   ","large                         ","hier                          ","gym                           "
7,6,"Behavioural issues                                                                                                                                                                                                                                                                                          ","9.326","yes                           ","matrix                        ","small                         ","alpha                         ","drinking                      "
3,6,"More friends                                                                                                                                                                                                                                                                                                ","23.026","yes                           ","node-linked                   ","small                         ","organic                       ","gym                           "
