"question_id","participant_id","answer","time","correct","type","size","layout","domain_question"
36,36,"Low salary -> negative attitude-> smoking                                                                                                                                                                                                                                                                   ","28.286","no                            ","matrix                        ","large                         ","inDD                          ","drinking                      "
35,36,"Negative parenting                                                                                                                                                                                                                                                                                          ","27.389","no                            ","matrix                        ","large                         ","inDD                          ","drinking                      "
3,36,"Self-discipline                                                                                                                                                                                                                                                                                             ","26.382","no                            ","node-linked                   ","small                         ","organic                       ","gym                           "
10,36,"Job satisfaction -> self-discipline -> team work behavour                                                                                                                                                                                                                                                   ","24.75","no                            ","matrix                        ","small                         ","outDD                         ","gym                           "
32,36,"Health issues -> Inability to fucus -> Pain                                                                                                                                                                                                                                                                 ","23.686","no                            ","matrix                        ","large                         ","alpha                         ","gym                           "
18,36,"Taking supplements -> gym mania -> gym facilities                                                                                                                                                                                                                                                           ","22.718","no                            ","node-linked                   ","medium                        ","parallel                      ","gym                           "
17,36,"Sports avoidance                                                                                                                                                                                                                                                                                            ","8.87","yes                           ","node-linked                   ","medium                        ","parallel                      ","gym                           "
10,34,"Job satisfaction -> self-discipline -> team work behavour                                                                                                                                                                                                                                                   ","371.413","no                            ","matrix                        ","small                         ","outDD                         ","gym                           "
26,34,"Obesity -> inability to focus -> large gym                                                                                                                                                                                                                                                                  ","370.693","no                            ","node-linked                   ","large                         ","hier                          ","gym                           "
13,34,"Good Planning                                                                                                                                                                                                                                                                                               ","369.789","no                            ","node-linked                   ","medium                        ","hier                          ","student                       "
27,34,"Missed deadlines                                                                                                                                                                                                                                                                                            ","368.789","no                            ","node-linked                   ","large                         ","organic                       ","student                       "
29,34,"Negativity                                                                                                                                                                                                                                                                                                  ","367.613","no                            ","node-linked                   ","large                         ","parallel                      ","drinking                      "
3,34,"Self-discipline                                                                                                                                                                                                                                                                                             ","366.613","no                            ","node-linked                   ","small                         ","organic                       ","gym                           "
8,34,"Drinking friends -> childhood issues -> behavioural issues                                                                                                                                                                                                                                                  ","365.653","no                            ","matrix                        ","small                         ","alpha                         ","drinking                      "
12,34,"Study groups -> good argumentation -> logical thinking                                                                                                                                                                                                                                                      ","364.437","no                            ","matrix                        ","small                         ","inDD                          ","student                       "
5,34,"Study groups                                                                                                                                                                                                                                                                                                ","361.926","no                            ","node-linked                   ","small                         ","parallel                      ","student                       "
4,34,"Better planning -> self-discipline -> doing sports                                                                                                                                                                                                                                                          ","360.717","no                            ","node-linked                   ","small                         ","organic                       ","gym                           "
20,34,"Fail exams -> study groups -> watching movies                                                                                                                                                                                                                                                               ","359.645","no                            ","matrix                        ","medium                        ","alpha                         ","student                       "
1,34,"Loneliness                                                                                                                                                                                                                                                                                                  ","358.509","no                            ","node-linked                   ","small                         ","hier                          ","drinking                      "
33,34,"Feeling happy                                                                                                                                                                                                                                                                                               ","356.589","no                            ","matrix                        ","large                         ","outDD                         ","student                       "
18,34,"Taking supplements -> gym mania -> gym facilities                                                                                                                                                                                                                                                           ","355.453","no                            ","node-linked                   ","medium                        ","parallel                      ","gym                           "
32,34,"Health issues -> Inability to fucus -> Pain                                                                                                                                                                                                                                                                 ","354.557","no                            ","matrix                        ","large                         ","alpha                         ","gym                           "
34,34,"Evident results -> pleasant gym time -> pain                                                                                                                                                                                                                                                                ","353.717","no                            ","matrix                        ","large                         ","outDD                         ","student                       "
11,34,"Critical thinking                                                                                                                                                                                                                                                                                           ","352.502","no                            ","matrix                        ","small                         ","inDD                          ","student                       "
