question_id,participant_id,time,correct,type,size,layout,domain_question
3,17,7.909,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
17,17,7.184,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
30,17,9.201,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
24,17,17.341,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
8,17,11.447,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
23,17,15.986,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
2,17,21.973,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
25,17,10.639,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
31,17,13.659,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
10,17,15.193,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
33,17,12.87,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
32,17,26.711,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
36,17,36.076,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
7,17,9.744,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
29,17,29.422,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
15,17,14.211,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
14,17,10.994,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
9,18,10.015,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
25,18,15.656,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
12,18,24.607,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
26,18,32.41,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
28,18,68.622,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
2,18,27.749,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
7,18,13.395,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
11,18,8.527,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
4,18,16.965,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
3,18,29.975,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
19,18,15.474,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
36,18,48.607,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
32,18,57.242,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
17,18,29.699,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
31,18,18.68,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
33,18,13.071,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
10,18,25.42,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
13,18,18.762,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
18,18,33.844,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
30,18,27.794,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
8,18,23.604,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
21,18,10.775,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
15,18,17.952,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
35,18,34.2,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
14,18,18.071,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
29,18,41.633,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
16,18,54.816,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
22,18,28.251,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
1,18,12.329,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
24,18,57.696,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
23,18,25.103,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
27,18,26.082,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
34,18,43.3,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
20,18,31.744,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
6,18,27.903,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
5,18,23.968,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
3,19,9.159,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
19,19,10.503,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
6,19,18.198,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
20,19,18.303,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
22,19,16.07,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
32,19,48.396,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
1,19,6.859,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
5,19,14.615,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
34,19,53.95,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
33,19,15.883,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
13,19,8.381,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
30,19,14.558,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
26,19,28.542,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
11,19,8.849,no                            ,matrix                        ,small                         ,inDD                          ,student                       
25,19,7.367,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
27,19,17.895,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
4,19,13.335,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
7,19,18.423,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
12,19,21.79,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
24,19,52,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
2,19,25.735,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
15,19,9.128,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
